user_id,amount,balance,timestamp,txn_type,merchant,location,channel,device_id,txn_status
user_1,6820.79,48816.51999999998,2025-06-08 22:06:46,debit,Cummings-Harris,Anitabury,POS,device_391,success
user_1,4707.1,53523.61999999998,2025-06-08 22:18:44,credit,"Glass, Fields and Parker",Jamesmouth,ATM,device_882,fail
user_1,2028.43,85085.18999999999,2025-06-09 08:00:10,credit,Jenkins and Sons,Ginafurt,online,device_460,success
user_1,4615.58,60716.68999999999,2025-06-09 11:43:52,credit,"Freeman, Mckinney and Hart",Crosbyfurt,online,device_253,success
user_1,8671.51,84336.17999999998,2025-06-10 13:06:54,credit,"Walker, Williams and Garcia",South Wendyland,POS,device_465,success
user_1,6818.82,46704.79999999998,2025-06-10 22:39:24,debit,Owen-Poole,New Ginachester,ATM,device_907,success
user_1,7033.11,80983.14999999998,2025-06-10 23:43:32,debit,"Davis, Mckinney and Murphy",Michaelton,ATM,device_651,success
user_1,9691.51,12386.169999999978,2025-06-11 00:41:41,debit,Vaughn PLC,Brooksport,online,device_417,success
user_1,6733.29,50453.789999999986,2025-06-11 20:02:59,credit,"Simpson, Greene and Dickerson",New Stevenshire,POS,device_922,success
user_1,2688.74,7198.479999999973,2025-06-13 02:14:26,credit,Butler-Rios,Lake Brookeborough,online,device_901,success
user_1,5165.85,48168.33999999998,2025-06-14 07:55:35,credit,"Garcia, Santiago and Chandler",Port Christopherville,ATM,device_498,success
user_1,8786.2,48584.01999999999,2025-06-14 15:09:54,debit,Ball-Allen,West Manuelton,online,device_750,success
user_1,1570.75,61534.15999999998,2025-06-15 09:00:53,debit,Reed-Jimenez,West Codyburgh,ATM,device_977,success
user_1,7304.81,73678.33999999998,2025-06-16 20:47:39,debit,Waters-Martinez,Port Peterview,POS,device_389,success
user_1,7310.83,67868.03999999998,2025-06-16 21:50:38,debit,"Reese, Avila and Durham",Philliptown,POS,device_81,success
user_1,5561.52,43638.279999999984,2025-06-17 07:36:56,debit,"Tran, Gardner and Roberson",New Lori,online,device_73,success
user_1,2814.82,74166.53999999998,2025-06-17 23:37:08,debit,"Jackson, Brown and Washington",Crystalport,POS,device_105,success
user_1,5862.57,18440.859999999975,2025-06-18 14:09:27,debit,Johnson and Sons,Port Chase,online,device_984,success
user_1,738.66,47845.359999999986,2025-06-19 01:05:03,debit,Sutton and Sons,North Kaylashire,online,device_676,success
user_1,505.95,75664.66999999998,2025-06-19 05:06:19,debit,"Edwards, Bolton and Sullivan",Port Alexander,POS,device_82,fail
user_1,2390.28,7529.719999999974,2025-06-19 08:48:54,debit,Cunningham Inc,West Karla,ATM,device_253,success
user_1,1253.99,49199.79999999999,2025-06-19 10:49:52,debit,"Young, Barrett and Mills",Lisastad,online,device_347,success
